# Himmelblau optimization failure log
# Init_X      Init_Y      Final_X     Final_Y     Solver_Type
-3.227273e+00 2.272727e-01 -1.502259e+225 -1.729859e+21 Symmetrized
-3.136364e+00 -2.272727e-01 3.760883e+04 1.940024e+193 Symmetrized
-1.863636e+00 4.545455e-02 -2.225837e+08 1.031594e+118 Symmetrized
-1.318182e+00 2.863636e+00 3.385154e+00 7.385183e-02 Standard
-1.045455e+00 -1.318182e+00 2.909605e+180 -1.455626e+04 Symmetrized
-1.045455e+00 -1.227273e+00 3.133569e+123 -5.124292e+02 Symmetrized
-1.045455e+00 -1.136364e+00 8.494607e+140 -1.378357e+03 Symmetrized
-1.045455e+00 -1.045455e+00 2.113019e+129 -7.077043e+02 Symmetrized
-9.545455e-01 -1.863636e+00 3.132081e+110 -2.453169e+02 Symmetrized
-8.636364e-01 5.000000e-01 -1.244481e+05 -7.911074e+219 Symmetrized
-6.818182e-01 -7.727273e-01 -3.386170e+05 4.310648e+182 Symmetrized
-5.000000e-01 -1.318182e+00 -2.459545e+77 -2.076099e+05 Symmetrized
-4.090909e-01 4.090909e-01 5.982085e+04 7.150406e+186 Symmetrized
-3.181818e-01 -2.136364e+00 -2.180697e+121 1.561806e+08 Symmetrized
-2.272727e-01 -1.045455e+00 -5.829505e+21 9.599820e+207 Symmetrized
-4.545455e-02 -2.863636e+00 -1.151305e+03 -8.590269e+136 Symmetrized
4.545455e-02 -4.045455e+00 -5.840633e+216 -1.049311e+05 Symmetrized
1.363636e-01 2.863636e+00 -7.927494e+02 -3.317497e+130 Standard
4.090909e-01 4.409091e+00 -8.114827e+85 1.923140e+87 Symmetrized
6.818182e-01 -2.136364e+00 1.003320e+161 -4.322925e+03 Symmetrized
2.227273e+00 -4.500000e+00 3.385154e+00 7.385181e-02 Standard
2.590909e+00 -4.227273e+00 -1.085612e+153 -2.836357e+03 Standard
