# Rosenbrock optimization failure log
# Init_X      Init_Y      Final_X     Final_Y     Solver_Type
-2.000000e+00 -3.939394e-01 6.620228e+83 7.614041e+05 Standard
-2.000000e+00 1.303030e+00 8.780925e+221 1.480989e+05 Standard
-2.000000e+00 1.343434e+00 1.872725e+78 2.957445e+05 Standard
-1.959596e+00 -5.151515e-01 2.896932e+168 7.111575e+03 Standard
-1.959596e+00 -4.747475e-01 -2.781335e+109 6.021211e+07 Standard
-1.959596e+00 -1.919192e-01 3.575792e+168 7.146469e+03 Standard
-1.959596e+00 1.181818e+00 1.557434e+171 8.306980e+03 Standard
-1.919192e+00 -9.191919e-01 -7.067509e+106 3.832033e+07 Symmetrized
-1.919192e+00 -5.959596e-01 -3.100495e+210 7.722440e+04 Standard
-1.919192e+00 1.060606e+00 -3.046791e+214 9.691220e+04 Standard
-1.919192e+00 1.262626e+00 1.720277e+196 3.436646e+04 Standard
-1.838384e+00 -7.979798e-01 5.915884e+142 2.105492e+10 Standard
-1.838384e+00 -7.575758e-01 -2.716363e+117 2.183236e+08 Standard
-1.838384e+00 7.777778e-01 3.881081e+178 1.262461e+04 Standard
-1.797980e+00 -8.787879e-01 4.666345e+132 2.890349e+09 Standard
-1.797980e+00 -8.383838e-01 2.360127e+88 1.654531e+06 Standard
-1.797980e+00 6.565657e-01 1.176957e+134 4.253554e+09 Standard
-1.757576e+00 -9.191919e-01 4.206461e+116 2.074169e+08 Standard
-1.757576e+00 5.353535e-01 3.938405e+96 6.763229e+06 Standard
-1.717172e+00 -1.000000e+00 -3.075642e+94 4.697096e+06 Standard
-1.717172e+00 4.141414e-01 2.761363e+108 5.039346e+07 Standard
-1.676768e+00 2.929293e-01 2.658620e+140 1.199445e+10 Standard
-1.676768e+00 1.101010e+00 6.775421e+108 5.321868e+07 Standard
-1.636364e+00 8.585859e-01 -5.759762e+78 3.213434e+05 Standard
-1.595960e+00 9.090909e-02 -3.897376e+131 1.839943e+09 Standard
-1.595960e+00 7.777778e-01 -8.742848e+102 1.985352e+07 Standard
-1.555556e+00 -3.030303e-02 1.690734e+103 2.086664e+07 Standard
-1.555556e+00 7.373737e-01 -3.034897e+205 5.810541e+04 Standard
-1.515152e+00 -5.151515e-01 -1.173963e+173 9.226108e+03 Standard
-1.474747e+00 -6.363636e-01 -1.111588e+109 5.496638e+07 Standard
-1.474747e+00 -5.959596e-01 -1.105038e+96 6.135406e+06 Standard
-1.474747e+00 -3.939394e-01 -6.018536e+80 4.536317e+05 Standard
-1.434343e+00 -7.979798e-01 1.620510e+126 1.035453e+09 Standard
-1.434343e+00 -7.575758e-01 2.512611e+80 4.247157e+05 Standard
-1.434343e+00 -7.171717e-01 6.734639e+216 1.106958e+05 Standard
-1.434343e+00 -6.767677e-01 -1.969806e+111 8.196698e+07 Standard
-1.434343e+00 -3.131313e-01 -1.003389e+106 3.326894e+07 Standard
