# X   ANN_y   Exact_y   ANN_dy   Exact_dy   ANN_d2y   Exact_d2y   ANN_Integral   Exact_Integral
-1 0.353163 0.353227 0.198094 0.192498 -10.3151 -10.18 0 0
-0.993311 0.354255 0.354285 0.128146 0.123416 -10.5975 -10.4736 0.00236621 0.00236652
-0.986622 0.354873 0.354874 0.0563442 0.0524067 -10.8697 -10.7565 0.00473814 0.00473855
-0.979933 0.355005 0.354982 -0.0172432 -0.0204585 -11.1311 -11.0282 0.00711259 0.00711292
-0.973244 0.354639 0.354596 -0.0925405 -0.0951009 -11.3808 -11.2878 0.00948626 0.00948636
-0.966555 0.353763 0.353705 -0.169468 -0.171438 -11.6183 -11.5346 0.0118558 0.0118556
-0.959866 0.352368 0.352299 -0.247939 -0.24938 -11.8426 -11.7679 0.0142177 0.0142171
-0.953177 0.350443 0.350366 -0.327866 -0.328836 -12.0532 -11.9869 0.0165686 0.0165674
-0.946488 0.347979 0.347897 -0.409154 -0.409707 -12.2492 -12.191 0.0189047 0.018903
-0.939799 0.344967 0.344882 -0.491702 -0.491891 -12.4301 -12.3794 0.0212226 0.0212203
-0.93311 0.341398 0.341313 -0.575407 -0.575281 -12.5951 -12.5514 0.0235184 0.0235156
-0.926421 0.337267 0.337183 -0.660161 -0.659765 -12.7435 -12.7064 0.0257885 0.0257851
-0.919732 0.332565 0.332485 -0.74585 -0.745227 -12.8747 -12.8437 0.0280291 0.0280252
-0.913043 0.327287 0.327212 -0.832358 -0.831546 -12.988 -12.9628 0.0302363 0.0302318
-0.906355 0.321428 0.321359 -0.919562 -0.9186 -13.083 -13.063 0.0324062 0.0324013
-0.899666 0.314984 0.314922 -1.00734 -1.00626 -13.1588 -13.1437 0.034535 0.0345296
-0.892977 0.307951 0.307896 -1.09556 -1.09439 -13.2151 -13.2043 0.0366187 0.036613
-0.886288 0.300327 0.30028 -1.18408 -1.18286 -13.2512 -13.2445 0.0386534 0.0386473
-0.879599 0.29211 0.292072 -1.27278 -1.27153 -13.2667 -13.2636 0.0406352 0.0406288
-0.87291 0.2833 0.28327 -1.36152 -1.36025 -13.2611 -13.2612 0.0425599 0.0425533
-0.866221 0.273896 0.273875 -1.45014 -1.44888 -13.2339 -13.2368 0.0444238 0.044417
-0.859532 0.2639 0.263887 -1.53851 -1.53728 -13.1847 -13.1902 0.0462228 0.0462159
-0.852843 0.253315 0.25331 -1.62648 -1.62529 -13.1132 -13.1208 0.0479529 0.047946
-0.846154 0.242143 0.242145 -1.71389 -1.71276 -13.019 -13.0284 0.0496103 0.0496033
-0.839465 0.230388 0.230398 -1.80059 -1.79953 -12.9018 -12.9128 0.051191 0.0511841
-0.832776 0.218056 0.218073 -1.88644 -1.88545 -12.7613 -12.7736 0.0526911 0.0526843
-0.826087 0.205154 0.205177 -1.97126 -1.97036 -12.5973 -12.6106 0.0541068 0.0541002
-0.819398 0.191688 0.191716 -2.05491 -2.0541 -12.4097 -12.4237 0.0554344 0.0554279
-0.812709 0.177666 0.1777 -2.13722 -2.13651 -12.1983 -12.2128 0.05667 0.0566637
