# X   Exact_g(X)   ANN_Response(X)
-1 0.353227 0.353163
-0.993311 0.354285 0.354255
-0.986622 0.354874 0.354873
-0.979933 0.354982 0.355005
-0.973244 0.354596 0.354639
-0.966555 0.353705 0.353763
-0.959866 0.352299 0.352368
-0.953177 0.350366 0.350443
-0.946488 0.347897 0.347979
-0.939799 0.344882 0.344967
-0.93311 0.341313 0.341398
-0.926421 0.337183 0.337267
-0.919732 0.332485 0.332565
-0.913043 0.327212 0.327287
-0.906355 0.321359 0.321428
-0.899666 0.314922 0.314984
-0.892977 0.307896 0.307951
-0.886288 0.30028 0.300327
-0.879599 0.292072 0.29211
-0.87291 0.28327 0.2833
-0.866221 0.273875 0.273896
-0.859532 0.263887 0.2639
-0.852843 0.25331 0.253315
-0.846154 0.242145 0.242143
-0.839465 0.230398 0.230388
-0.832776 0.218073 0.218056
-0.826087 0.205177 0.205154
-0.819398 0.191716 0.191688
-0.812709 0.1777 0.177666
-0.80602 0.163138 0.163099
-0.799331 0.148039 0.147997
-0.792642 0.132417 0.132371
-0.785953 0.116282 0.116235
-0.779264 0.0996505 0.0996011
-0.772575 0.0825355 0.082485
-0.765886 0.0649534 0.0649024
-0.759197 0.0469212 0.0468703
-0.752508 0.0284568 0.0284065
-0.745819 0.00957921 0.00953015
-0.73913 -0.00969151 -0.00973888
-0.732441 -0.0293343 -0.0293796
-0.725753 -0.0493273 -0.04937
-0.719064 -0.0696474 -0.0696871
-0.712375 -0.0902708 -0.0903073
-0.705686 -0.111173 -0.111206
-0.698997 -0.132327 -0.132357
-0.692308 -0.153708 -0.153734
-0.685619 -0.175289 -0.17531
-0.67893 -0.19704 -0.197057
-0.672241 -0.218933 -0.218946
-0.665552 -0.240939 -0.240947
-0.658863 -0.263027 -0.263032
-0.652174 -0.285167 -0.285167
-0.645485 -0.307328 -0.307324
-0.638796 -0.329476 -0.329469
-0.632107 -0.351581 -0.35157
-0.625418 -0.37361 -0.373595
-0.618729 -0.395529 -0.39551
-0.61204 -0.417304 -0.417283
-0.605351 -0.438903 -0.438878
-0.598662 -0.460291 -0.460264
-0.591973 -0.481434 -0.481404
-0.585284 -0.502298 -0.502266
-0.578595 -0.522849 -0.522815
-0.571906 -0.543052 -0.543017
-0.565217 -0.562874 -0.562838
-0.558528 -0.58228 -0.582243
-0.551839 -0.601237 -0.6012
-0.545151 -0.619712 -0.619675
-0.538462 -0.637671 -0.637634
-0.531773 -0.655081 -0.655044
-0.525084 -0.671911 -0.671874
-0.518395 -0.688128 -0.688092
-0.511706 -0.703701 -0.703667
-0.505017 -0.7186 -0.718567
-0.498328 -0.732794 -0.732763
-0.491639 -0.746255 -0.746226
-0.48495 -0.758955 -0.758928
-0.478261 -0.770866 -0.770841
-0.471572 -0.781961 -0.781939
-0.464883 -0.792215 -0.792196
-0.458194 -0.801604 -0.801587
-0.451505 -0.810104 -0.81009
-0.444816 -0.817694 -0.817683
-0.438127 -0.824351 -0.824343
-0.431438 -0.830057 -0.830052
-0.424749 -0.834793 -0.834791
-0.41806 -0.838542 -0.838543
-0.411371 -0.841288 -0.841292
-0.404682 -0.843018 -0.843025
-0.397993 -0.843717 -0.843727
-0.391304 -0.843375 -0.843388
-0.384615 -0.841983 -0.841998
-0.377926 -0.839531 -0.839549
-0.371237 -0.836013 -0.836034
-0.364548 -0.831425 -0.831448
-0.35786 -0.825763 -0.825789
-0.351171 -0.819026 -0.819053
-0.344482 -0.811212 -0.811241
-0.337793 -0.802324 -0.802355
-0.331104 -0.792366 -0.792398
-0.324415 -0.781343 -0.781376
-0.317726 -0.76926 -0.769294
-0.311037 -0.756127 -0.756162
-0.304348 -0.741955 -0.74199
-0.297659 -0.726754 -0.726789
-0.29097 -0.710538 -0.710574
-0.284281 -0.693324 -0.693359
-0.277592 -0.675127 -0.675162
-0.270903 -0.655967 -0.656001
-0.264214 -0.635864 -0.635896
-0.257525 -0.614839 -0.61487
-0.250836 -0.592917 -0.592946
-0.244147 -0.570121 -0.570149
-0.237458 -0.546479 -0.546505
-0.230769 -0.522019 -0.522042
-0.22408 -0.49677 -0.49679
-0.217391 -0.470762 -0.47078
-0.210702 -0.444029 -0.444044
-0.204013 -0.416603 -0.416615
-0.197324 -0.388519 -0.388529
-0.190635 -0.359814 -0.35982
-0.183946 -0.330523 -0.330526
-0.177258 -0.300686 -0.300685
-0.170569 -0.270341 -0.270337
-0.16388 -0.239529 -0.239522
-0.157191 -0.20829 -0.208279
-0.150502 -0.176666 -0.176653
-0.143813 -0.144701 -0.144684
-0.137124 -0.112436 -0.112416
-0.130435 -0.0799165 -0.0798934
-0.123746 -0.0471863 -0.0471603
-0.117057 -0.0142903 -0.0142617
-0.110368 0.0187262 0.0187574
-0.103679 0.0518177 0.0518511
-0.09699 0.0849383 0.0849738
-0.090301 0.118042 0.118079
-0.083612 0.151083 0.151122
-0.0769231 0.184015 0.184055
-0.0702341 0.216792 0.216833
-0.0635452 0.249369 0.249411
-0.0568562 0.281699 0.281741
-0.0501672 0.313738 0.31378
-0.0434783 0.345441 0.345482
-0.0367893 0.376763 0.376803
-0.0301003 0.40766 0.4077
-0.0234114 0.43809 0.438128
-0.0167224 0.468009 0.468045
-0.0100334 0.497376 0.49741
-0.00334448 0.52615 0.526182
0.00334448 0.554291 0.554321
0.0100334 0.581761 0.581787
0.0167224 0.60852 0.608543
0.0234114 0.634532 0.634552
0.0301003 0.659762 0.659778
0.0367893 0.684175 0.684187
0.0434783 0.707737 0.707746
0.0501672 0.730418 0.730422
0.0568562 0.752186 0.752186
0.0635452 0.773013 0.773009
0.0702341 0.792871 0.792862
0.0769231 0.811734 0.811721
0.083612 0.829578 0.829561
0.090301 0.84638 0.846359
0.09699 0.86212 0.862094
0.103679 0.876777 0.876747
0.110368 0.890334 0.890301
0.117057 0.902776 0.902739
0.123746 0.914087 0.914047
0.130435 0.924257 0.924214
0.137124 0.933274 0.933228
0.143813 0.941129 0.941081
0.150502 0.947816 0.947767
0.157191 0.95333 0.953279
0.16388 0.957668 0.957615
0.170569 0.960827 0.960775
0.177258 0.96281 0.962757
0.183946 0.963617 0.963565
0.190635 0.963254 0.963202
0.197324 0.961725 0.961675
0.204013 0.95904 0.958991
0.210702 0.955206 0.95516
0.217391 0.950236 0.950192
0.22408 0.944143 0.944102
0.230769 0.93694 0.936903
0.237458 0.928645 0.928611
0.244147 0.919275 0.919245
0.250836 0.908849 0.908824
0.257525 0.897388 0.897369
0.264214 0.884916 0.884901
0.270903 0.871455 0.871446
0.277592 0.857031 0.857027
0.284281 0.841671 0.841673
0.29097 0.825402 0.82541
0.297659 0.808254 0.808267
0.304348 0.790257 0.790276
0.311037 0.771442 0.771466
0.317726 0.751841 0.751872
0.324415 0.731489 0.731525
0.331104 0.710419 0.71046
0.337793 0.688667 0.688712
0.344482 0.666269 0.666318
0.351171 0.643261 0.643314
0.35786 0.61968 0.619737
0.364548 0.595565 0.595625
0.371237 0.570955 0.571017
0.377926 0.545887 0.545952
0.384615 0.520401 0.520467
0.391304 0.494538 0.494605
0.397993 0.468336 0.468403
0.404682 0.441836 0.441902
0.411371 0.415077 0.415142
0.41806 0.3881 0.388164
0.424749 0.360945 0.361006
0.431438 0.333652 0.33371
0.438127 0.30626 0.306315
0.444816 0.278809 0.27886
0.451505 0.251339 0.251384
0.458194 0.223887 0.223927
0.464883 0.196493 0.196527
0.471572 0.169194 0.169222
0.478261 0.142028 0.142049
0.48495 0.11503 0.115044
0.491639 0.0882382 0.0882451
0.498328 0.0616865 0.0616859
0.505017 0.0354097 0.0354016
0.511706 0.00944153 0.00942583
0.518395 -0.0161853 -0.0162086
0.525084 -0.041439 -0.0414697
0.531773 -0.0662886 -0.0663266
0.538462 -0.0907043 -0.0907493
0.545151 -0.114657 -0.114709
0.551839 -0.13812 -0.138178
0.558528 -0.161066 -0.161129
0.565217 -0.183469 -0.183538
0.571906 -0.205306 -0.205379
0.578595 -0.226553 -0.22663
0.585284 -0.247189 -0.247269
0.591973 -0.267192 -0.267275
0.598662 -0.286545 -0.286629
0.605351 -0.305229 -0.305313
0.61204 -0.323226 -0.32331
0.618729 -0.340523 -0.340605
0.625418 -0.357105 -0.357185
0.632107 -0.372959 -0.373035
0.638796 -0.388074 -0.388146
0.645485 -0.40244 -0.402507
0.652174 -0.416048 -0.416109
0.658863 -0.428891 -0.428946
0.665552 -0.440964 -0.441011
0.672241 -0.452261 -0.452299
0.67893 -0.462778 -0.462808
